Date,Price_IDR,Promotion,Demand_Raw,Sales_Actual,Stockout_Occurred,Demand_Cleaned
2023-01-01,65000,0,335,335,0,335
2023-01-02,65000,0,315,188,1,335
2023-01-03,65000,0,331,281,1,262
2023-01-04,65000,0,383,383,0,383
2023-01-05,65000,0,356,356,0,356
2023-01-06,65000,0,371,371,0,371
2023-01-07,65000,0,429,429,0,429
2023-01-08,65000,0,402,328,1,335
2023-01-09,65000,0,345,345,0,345
2023-01-10,65000,0,306,306,0,306
2023-01-11,65000,0,323,323,0,323
2023-01-12,65000,0,367,367,0,367
2023-01-13,65000,0,422,422,0,422
2023-01-14,65000,0,435,435,0,435
2023-01-15,65000,0,341,275,1,361
2023-01-16,65000,0,309,309,0,309
2023-01-17,65000,0,354,354,0,354
2023-01-18,65000,0,358,358,0,358
2023-01-19,65000,0,350,350,0,350
2023-01-20,65000,0,363,363,0,363
2023-01-21,65000,0,356,356,0,356
2023-01-22,65000,0,403,403,0,403
2023-01-23,65000,0,271,271,0,271
2023-01-24,65000,0,346,346,0,346
2023-01-25,61750,1,343,343,0,343
2023-01-26,58500,1,458,458,0,458
2023-01-27,61750,1,444,444,0,444
2023-01-28,61750,1,450,450,0,450
2023-01-29,65000,0,397,397,0,397
2023-01-30,65000,0,273,273,0,273
2023-01-31,65000,0,288,288,0,288
2023-02-01,65000,0,319,319,0,319
2023-02-02,65000,0,332,332,0,332
2023-02-03,65000,0,336,336,0,336
2023-02-04,65000,0,436,436,0,436
2023-02-05,65000,0,428,428,0,428
2023-02-06,65000,0,337,337,0,337
2023-02-07,65000,0,342,342,0,342
2023-02-08,65000,0,323,323,0,323
2023-02-09,65000,0,364,364,0,364
2023-02-10,65000,0,369,369,0,369
2023-02-11,65000,0,430,430,0,430
2023-02-12,65000,0,385,336,1,370
2023-02-13,65000,0,309,309,0,309
2023-02-14,65000,0,348,348,0,348
2023-02-15,65000,0,363,363,0,363
2023-02-16,65000,0,366,366,0,366
2023-02-17,65000,0,372,372,0,372
2023-02-18,65000,0,442,442,0,442
2023-02-19,65000,0,386,386,0,386
2023-02-20,65000,0,306,306,0,306
2023-02-21,65000,0,321,321,0,321
2023-02-22,65000,0,370,370,0,370
2023-02-23,65000,0,351,351,0,351
2023-02-24,65000,0,373,373,0,373
2023-02-25,55250,1,666,666,0,666
2023-02-26,61750,1,496,496,0,496
2023-02-27,65000,0,326,326,0,326
2023-02-28,55250,1,399,399,0,399
2023-03-01,65000,0,346,346,0,346
2023-03-02,65000,0,349,349,0,349
2023-03-03,65000,0,346,346,0,346
2023-03-04,65000,0,442,442,0,442
2023-03-05,65000,0,399,399,0,399
2023-03-06,65000,0,367,367,0,367
2023-03-07,65000,0,352,352,0,352
2023-03-08,65000,0,320,320,0,320
2023-03-09,65000,0,319,319,0,319
2023-03-10,65000,0,404,404,0,404
2023-03-11,65000,0,424,424,0,424
2023-03-12,65000,0,397,397,0,397
2023-03-13,65000,0,296,296,0,296
2023-03-14,65000,0,350,216,1,359
2023-03-15,65000,0,356,356,0,356
2023-03-16,65000,0,345,345,0,345
2023-03-17,65000,0,329,329,0,329
2023-03-18,65000,0,429,429,0,429
2023-03-19,65000,0,312,312,0,312
2023-03-20,65000,0,318,318,0,318
2023-03-21,65000,0,345,345,0,345
2023-03-22,65000,0,317,234,1,348
2023-03-23,65000,0,337,337,0,337
2023-03-24,65000,0,360,360,0,360
2023-03-25,65000,0,445,445,0,445
2023-03-26,61750,1,443,443,0,443
2023-03-27,61750,1,434,434,0,434
2023-03-28,65000,0,699,699,0,699
2023-03-29,65000,0,647,647,0,647
2023-03-30,58500,1,998,998,0,998
2023-03-31,61750,1,920,920,0,920
2023-04-01,61750,1,933,933,0,933
2023-04-02,65000,0,848,848,0,848
2023-04-03,61750,1,830,703,1,783
2023-04-04,61750,1,775,775,0,775
2023-04-05,58500,1,829,829,0,829
2023-04-06,65000,0,790,468,1,858
2023-04-07,65000,0,764,764,0,764
2023-04-08,58500,1,1075,1075,0,1075
2023-04-09,65000,0,871,871,0,871
2023-04-10,65000,0,724,724,0,724
2023-04-11,61750,1,748,748,0,748
2023-04-12,61750,1,741,741,0,741
2023-04-13,58500,1,900,768,1,770
2023-04-14,61750,1,1095,1095,0,1095
2023-04-15,55250,1,1144,99,1,860
2023-04-16,61750,1,939,711,1,721
2023-04-17,61750,1,724,724,0,724
2023-04-18,65000,0,759,709,1,698
2023-04-19,61750,1,847,748,1,692
2023-04-20,55250,1,1212,1212,0,1212
2023-04-21,55250,1,1127,847,1,757
2023-04-22,61750,1,956,956,0,956
2023-04-23,65000,0,57,57,0,57
2023-04-24,65000,0,40,40,0,40
2023-04-25,65000,0,77,77,0,77
2023-04-26,65000,0,367,205,1,562
2023-04-27,65000,0,369,369,0,369
2023-04-28,61750,1,401,401,0,401
2023-04-29,65000,0,372,372,0,372
2023-04-30,65000,0,326,326,0,326
2023-05-01,65000,0,322,322,0,322
2023-05-02,65000,0,332,332,0,332
2023-05-03,65000,0,367,367,0,367
2023-05-04,65000,0,408,408,0,408
2023-05-05,65000,0,346,346,0,346
2023-05-06,65000,0,376,376,0,376
2023-05-07,65000,0,364,364,0,364
2023-05-08,65000,0,319,319,0,319
