Date,Warehouse,Product,Category,Price_IDR,Promotion,Demand_Raw,Stockout_Occurred,Sales_Actual
2023-01-01,Jakarta,SKU_HIJAB_INSTAN,Fashion,65000,0,159,0,159
2023-01-01,Jakarta,SKU_KOPI_GAYO,Food & Beverage,220000,0,88,0,88
2023-01-01,Jakarta,SKU_BATIK_TULIS,Fashion Premium,1200000,0,21,0,21
2023-01-01,Surabaya,SKU_HIJAB_INSTAN,Fashion,65000,0,119,0,119
2023-01-01,Surabaya,SKU_KOPI_GAYO,Food & Beverage,220000,0,47,0,47
2023-01-01,Surabaya,SKU_BATIK_TULIS,Fashion Premium,1200000,0,11,0,11
2023-01-01,Medan,SKU_HIJAB_INSTAN,Fashion,65000,0,33,0,33
2023-01-01,Medan,SKU_KOPI_GAYO,Food & Beverage,220000,0,40,0,40
2023-01-01,Medan,SKU_BATIK_TULIS,Fashion Premium,1200000,0,7,0,7
2023-01-01,Makassar,SKU_HIJAB_INSTAN,Fashion,65000,0,24,0,24
2023-01-01,Makassar,SKU_KOPI_GAYO,Food & Beverage,220000,0,12,0,12
2023-01-01,Makassar,SKU_BATIK_TULIS,Fashion Premium,1200000,0,5,0,5
2023-01-02,Jakarta,SKU_HIJAB_INSTAN,Fashion,65000,0,127,1,0
2023-01-02,Jakarta,SKU_KOPI_GAYO,Food & Beverage,220000,0,80,0,80
2023-01-02,Jakarta,SKU_BATIK_TULIS,Fashion Premium,1200000,0,12,1,0
2023-01-02,Surabaya,SKU_HIJAB_INSTAN,Fashion,65000,0,94,0,94
2023-01-02,Surabaya,SKU_KOPI_GAYO,Food & Beverage,220000,0,40,0,40
2023-01-02,Surabaya,SKU_BATIK_TULIS,Fashion Premium,1200000,0,7,0,7
2023-01-02,Medan,SKU_HIJAB_INSTAN,Fashion,65000,0,53,0,53
2023-01-02,Medan,SKU_KOPI_GAYO,Food & Beverage,220000,0,33,0,33
2023-01-02,Medan,SKU_BATIK_TULIS,Fashion Premium,1200000,0,8,0,8
2023-01-02,Makassar,SKU_HIJAB_INSTAN,Fashion,65000,0,41,0,41
2023-01-02,Makassar,SKU_KOPI_GAYO,Food & Beverage,220000,0,16,0,16
2023-01-02,Makassar,SKU_BATIK_TULIS,Fashion Premium,1200000,0,3,0,3
2023-01-03,Jakarta,SKU_HIJAB_INSTAN,Fashion,65000,0,143,0,143
2023-01-03,Jakarta,SKU_KOPI_GAYO,Food & Beverage,220000,0,77,0,77
2023-01-03,Jakarta,SKU_BATIK_TULIS,Fashion Premium,1200000,0,13,0,13
2023-01-03,Surabaya,SKU_HIJAB_INSTAN,Fashion,65000,0,99,0,99
2023-01-03,Surabaya,SKU_KOPI_GAYO,Food & Beverage,220000,0,49,0,49
2023-01-03,Surabaya,SKU_BATIK_TULIS,Fashion Premium,1200000,0,7,0,7
2023-01-03,Medan,SKU_HIJAB_INSTAN,Fashion,65000,0,50,1,0
2023-01-03,Medan,SKU_KOPI_GAYO,Food & Beverage,220000,0,35,0,35
2023-01-03,Medan,SKU_BATIK_TULIS,Fashion Premium,1200000,0,6,0,6
2023-01-03,Makassar,SKU_HIJAB_INSTAN,Fashion,65000,0,39,0,39
2023-01-03,Makassar,SKU_KOPI_GAYO,Food & Beverage,220000,0,10,0,10
2023-01-03,Makassar,SKU_BATIK_TULIS,Fashion Premium,1200000,0,2,0,2
2023-01-04,Jakarta,SKU_HIJAB_INSTAN,Fashion,65000,0,148,0,148
2023-01-04,Jakarta,SKU_KOPI_GAYO,Food & Beverage,220000,0,77,0,77
2023-01-04,Jakarta,SKU_BATIK_TULIS,Fashion Premium,1200000,0,16,0,16
2023-01-04,Surabaya,SKU_HIJAB_INSTAN,Fashion,65000,0,93,0,93
2023-01-04,Surabaya,SKU_KOPI_GAYO,Food & Beverage,220000,0,54,0,54
2023-01-04,Surabaya,SKU_BATIK_TULIS,Fashion Premium,1200000,0,9,0,9
2023-01-04,Medan,SKU_HIJAB_INSTAN,Fashion,65000,0,100,0,100
2023-01-04,Medan,SKU_KOPI_GAYO,Food & Beverage,220000,0,26,0,26
2023-01-04,Medan,SKU_BATIK_TULIS,Fashion Premium,1200000,0,4,0,4
2023-01-04,Makassar,SKU_HIJAB_INSTAN,Fashion,65000,0,42,0,42
2023-01-04,Makassar,SKU_KOPI_GAYO,Food & Beverage,220000,0,12,0,12
2023-01-04,Makassar,SKU_BATIK_TULIS,Fashion Premium,1200000,0,2,0,2
2023-01-05,Jakarta,SKU_HIJAB_INSTAN,Fashion,65000,0,145,0,145
2023-01-05,Jakarta,SKU_KOPI_GAYO,Food & Beverage,220000,0,78,0,78
2023-01-05,Jakarta,SKU_BATIK_TULIS,Fashion Premium,1200000,0,16,0,16
2023-01-05,Surabaya,SKU_HIJAB_INSTAN,Fashion,65000,0,99,0,99
2023-01-05,Surabaya,SKU_KOPI_GAYO,Food & Beverage,220000,0,47,0,47
2023-01-05,Surabaya,SKU_BATIK_TULIS,Fashion Premium,1200000,0,11,0,11
2023-01-05,Medan,SKU_HIJAB_INSTAN,Fashion,65000,0,77,0,77
2023-01-05,Medan,SKU_KOPI_GAYO,Food & Beverage,220000,0,30,1,0
2023-01-05,Medan,SKU_BATIK_TULIS,Fashion Premium,1200000,0,3,0,3
2023-01-05,Makassar,SKU_HIJAB_INSTAN,Fashion,65000,0,35,0,35
2023-01-05,Makassar,SKU_KOPI_GAYO,Food & Beverage,220000,0,19,0,19
2023-01-05,Makassar,SKU_BATIK_TULIS,Fashion Premium,1200000,0,3,0,3
2023-01-06,Jakarta,SKU_HIJAB_INSTAN,Fashion,65000,0,168,0,168
2023-01-06,Jakarta,SKU_KOPI_GAYO,Food & Beverage,220000,0,84,0,84
2023-01-06,Jakarta,SKU_BATIK_TULIS,Fashion Premium,1200000,0,16,0,16
2023-01-06,Surabaya,SKU_HIJAB_INSTAN,Fashion,65000,0,98,0,98
2023-01-06,Surabaya,SKU_KOPI_GAYO,Food & Beverage,220000,0,51,0,51
2023-01-06,Surabaya,SKU_BATIK_TULIS,Fashion Premium,1200000,0,15,0,15
2023-01-06,Medan,SKU_HIJAB_INSTAN,Fashion,65000,0,63,0,63
2023-01-06,Medan,SKU_KOPI_GAYO,Food & Beverage,220000,0,36,0,36
2023-01-06,Medan,SKU_BATIK_TULIS,Fashion Premium,1200000,0,9,0,9
2023-01-06,Makassar,SKU_HIJAB_INSTAN,Fashion,65000,0,42,0,42
2023-01-06,Makassar,SKU_KOPI_GAYO,Food & Beverage,220000,0,26,0,26
2023-01-06,Makassar,SKU_BATIK_TULIS,Fashion Premium,1200000,0,2,0,2
2023-01-07,Jakarta,SKU_HIJAB_INSTAN,Fashion,65000,0,177,0,177
2023-01-07,Jakarta,SKU_KOPI_GAYO,Food & Beverage,220000,0,94,0,94
2023-01-07,Jakarta,SKU_BATIK_TULIS,Fashion Premium,1200000,0,26,1,0
2023-01-07,Surabaya,SKU_HIJAB_INSTAN,Fashion,65000,0,124,0,124
2023-01-07,Surabaya,SKU_KOPI_GAYO,Food & Beverage,220000,0,57,0,57
2023-01-07,Surabaya,SKU_BATIK_TULIS,Fashion Premium,1200000,0,11,0,11
2023-01-07,Medan,SKU_HIJAB_INSTAN,Fashion,65000,0,83,0,83
2023-01-07,Medan,SKU_KOPI_GAYO,Food & Beverage,220000,0,34,0,34
2023-01-07,Medan,SKU_BATIK_TULIS,Fashion Premium,1200000,0,8,0,8
2023-01-07,Makassar,SKU_HIJAB_INSTAN,Fashion,65000,0,45,0,45
2023-01-07,Makassar,SKU_KOPI_GAYO,Food & Beverage,220000,0,27,0,27
2023-01-07,Makassar,SKU_BATIK_TULIS,Fashion Premium,1200000,0,9,0,9
2023-01-08,Jakarta,SKU_HIJAB_INSTAN,Fashion,65000,0,178,0,178
2023-01-08,Jakarta,SKU_KOPI_GAYO,Food & Beverage,220000,0,91,0,91
2023-01-08,Jakarta,SKU_BATIK_TULIS,Fashion Premium,1200000,0,21,0,21
2023-01-08,Surabaya,SKU_HIJAB_INSTAN,Fashion,65000,0,109,0,109
2023-01-08,Surabaya,SKU_KOPI_GAYO,Food & Beverage,220000,0,46,0,46
2023-01-08,Surabaya,SKU_BATIK_TULIS,Fashion Premium,1200000,0,13,0,13
2023-01-08,Medan,SKU_HIJAB_INSTAN,Fashion,65000,0,74,1,0
2023-01-08,Medan,SKU_KOPI_GAYO,Food & Beverage,220000,0,29,0,29
2023-01-08,Medan,SKU_BATIK_TULIS,Fashion Premium,1200000,0,11,0,11
2023-01-08,Makassar,SKU_HIJAB_INSTAN,Fashion,65000,0,41,0,41
2023-01-08,Makassar,SKU_KOPI_GAYO,Food & Beverage,220000,0,10,0,10
2023-01-08,Makassar,SKU_BATIK_TULIS,Fashion Premium,1200000,0,5,0,5
2023-01-09,Jakarta,SKU_HIJAB_INSTAN,Fashion,65000,0,145,0,145
2023-01-09,Jakarta,SKU_KOPI_GAYO,Food & Beverage,220000,0,84,0,84
2023-01-09,Jakarta,SKU_BATIK_TULIS,Fashion Premium,1200000,0,11,0,11
2023-01-09,Surabaya,SKU_HIJAB_INSTAN,Fashion,65000,0,75,0,75
2023-01-09,Surabaya,SKU_KOPI_GAYO,Food & Beverage,220000,0,52,0,52
2023-01-09,Surabaya,SKU_BATIK_TULIS,Fashion Premium,1200000,0,7,0,7
2023-01-09,Medan,SKU_HIJAB_INSTAN,Fashion,65000,0,86,0,86
2023-01-09,Medan,SKU_KOPI_GAYO,Food & Beverage,220000,0,31,0,31
2023-01-09,Medan,SKU_BATIK_TULIS,Fashion Premium,1200000,0,4,0,4
2023-01-09,Makassar,SKU_HIJAB_INSTAN,Fashion,65000,0,39,0,39
2023-01-09,Makassar,SKU_KOPI_GAYO,Food & Beverage,220000,0,14,0,14
2023-01-09,Makassar,SKU_BATIK_TULIS,Fashion Premium,1200000,0,3,0,3
2023-01-10,Jakarta,SKU_HIJAB_INSTAN,Fashion,65000,0,135,0,135
2023-01-10,Jakarta,SKU_KOPI_GAYO,Food & Beverage,220000,0,69,0,69
2023-01-10,Jakarta,SKU_BATIK_TULIS,Fashion Premium,1200000,0,14,0,14
2023-01-10,Surabaya,SKU_HIJAB_INSTAN,Fashion,65000,0,72,0,72
2023-01-10,Surabaya,SKU_KOPI_GAYO,Food & Beverage,220000,0,41,0,41
2023-01-10,Surabaya,SKU_BATIK_TULIS,Fashion Premium,1200000,0,8,0,8
2023-01-10,Medan,SKU_HIJAB_INSTAN,Fashion,65000,0,58,0,58
2023-01-10,Medan,SKU_KOPI_GAYO,Food & Beverage,220000,0,24,0,24
2023-01-10,Medan,SKU_BATIK_TULIS,Fashion Premium,1200000,0,6,0,6
2023-01-10,Makassar,SKU_HIJAB_INSTAN,Fashion,65000,0,41,0,41
2023-01-10,Makassar,SKU_KOPI_GAYO,Food & Beverage,220000,0,19,0,19
2023-01-10,Makassar,SKU_BATIK_TULIS,Fashion Premium,1200000,0,3,0,3
2023-01-11,Jakarta,SKU_HIJAB_INSTAN,Fashion,65000,0,167,0,167
2023-01-11,Jakarta,SKU_KOPI_GAYO,Food & Beverage,220000,0,80,0,80
2023-01-11,Jakarta,SKU_BATIK_TULIS,Fashion Premium,1200000,0,15,0,15
2023-01-11,Surabaya,SKU_HIJAB_INSTAN,Fashion,65000,0,92,0,92
2023-01-11,Surabaya,SKU_KOPI_GAYO,Food & Beverage,220000,0,49,0,49
2023-01-11,Surabaya,SKU_BATIK_TULIS,Fashion Premium,1200000,0,7,0,7
2023-01-11,Medan,SKU_HIJAB_INSTAN,Fashion,65000,0,38,0,38
2023-01-11,Medan,SKU_KOPI_GAYO,Food & Beverage,220000,0,34,0,34
2023-01-11,Medan,SKU_BATIK_TULIS,Fashion Premium,1200000,0,4,0,4
2023-01-11,Makassar,SKU_HIJAB_INSTAN,Fashion,65000,0,26,0,26
2023-01-11,Makassar,SKU_KOPI_GAYO,Food & Beverage,220000,0,19,0,19
2023-01-11,Makassar,SKU_BATIK_TULIS,Fashion Premium,1200000,0,2,0,2
2023-01-12,Jakarta,SKU_HIJAB_INSTAN,Fashion,65000,0,182,0,182
2023-01-12,Jakarta,SKU_KOPI_GAYO,Food & Beverage,220000,0,86,0,86
2023-01-12,Jakarta,SKU_BATIK_TULIS,Fashion Premium,1200000,0,14,0,14
2023-01-12,Surabaya,SKU_HIJAB_INSTAN,Fashion,65000,0,95,0,95
2023-01-12,Surabaya,SKU_KOPI_GAYO,Food & Beverage,220000,0,44,0,44
2023-01-12,Surabaya,SKU_BATIK_TULIS,Fashion Premium,1200000,0,10,0,10
2023-01-12,Medan,SKU_HIJAB_INSTAN,Fashion,65000,0,68,0,68
2023-01-12,Medan,SKU_KOPI_GAYO,Food & Beverage,220000,0,38,0,38
2023-01-12,Medan,SKU_BATIK_TULIS,Fashion Premium,1200000,0,6,0,6
2023-01-12,Makassar,SKU_HIJAB_INSTAN,Fashion,65000,0,22,0,22
2023-01-12,Makassar,SKU_KOPI_GAYO,Food & Beverage,220000,0,8,0,8
2023-01-12,Makassar,SKU_BATIK_TULIS,Fashion Premium,1200000,0,4,0,4
2023-01-13,Jakarta,SKU_HIJAB_INSTAN,Fashion,65000,0,148,0,148
2023-01-13,Jakarta,SKU_KOPI_GAYO,Food & Beverage,220000,0,97,0,97
2023-01-13,Jakarta,SKU_BATIK_TULIS,Fashion Premium,1200000,0,19,0,19
2023-01-13,Surabaya,SKU_HIJAB_INSTAN,Fashion,65000,0,124,0,124
2023-01-13,Surabaya,SKU_KOPI_GAYO,Food & Beverage,220000,0,42,0,42
2023-01-13,Surabaya,SKU_BATIK_TULIS,Fashion Premium,1200000,0,11,0,11
2023-01-13,Medan,SKU_HIJAB_INSTAN,Fashion,65000,0,86,0,86
2023-01-13,Medan,SKU_KOPI_GAYO,Food & Beverage,220000,0,43,0,43
2023-01-13,Medan,SKU_BATIK_TULIS,Fashion Premium,1200000,0,8,0,8
2023-01-13,Makassar,SKU_HIJAB_INSTAN,Fashion,65000,0,64,0,64
2023-01-13,Makassar,SKU_KOPI_GAYO,Food & Beverage,220000,0,15,0,15
2023-01-13,Makassar,SKU_BATIK_TULIS,Fashion Premium,1200000,0,4,0,4
2023-01-14,Jakarta,SKU_HIJAB_INSTAN,Fashion,65000,0,209,0,209
2023-01-14,Jakarta,SKU_KOPI_GAYO,Food & Beverage,220000,0,79,0,79
2023-01-14,Jakarta,SKU_BATIK_TULIS,Fashion Premium,1200000,0,22,0,22
2023-01-14,Surabaya,SKU_HIJAB_INSTAN,Fashion,65000,0,120,0,120
2023-01-14,Surabaya,SKU_KOPI_GAYO,Food & Beverage,220000,0,54,0,54
2023-01-14,Surabaya,SKU_BATIK_TULIS,Fashion Premium,1200000,0,12,0,12
2023-01-14,Medan,SKU_HIJAB_INSTAN,Fashion,65000,0,65,0,65
2023-01-14,Medan,SKU_KOPI_GAYO,Food & Beverage,220000,0,41,0,41
2023-01-14,Medan,SKU_BATIK_TULIS,Fashion Premium,1200000,0,10,0,10
2023-01-14,Makassar,SKU_HIJAB_INSTAN,Fashion,65000,0,41,0,41
2023-01-14,Makassar,SKU_KOPI_GAYO,Food & Beverage,220000,0,11,0,11
2023-01-14,Makassar,SKU_BATIK_TULIS,Fashion Premium,1200000,0,3,0,3
2023-01-15,Jakarta,SKU_HIJAB_INSTAN,Fashion,65000,0,150,0,150
2023-01-15,Jakarta,SKU_KOPI_GAYO,Food & Beverage,220000,0,77,0,77
2023-01-15,Jakarta,SKU_BATIK_TULIS,Fashion Premium,1200000,0,23,0,23
2023-01-15,Surabaya,SKU_HIJAB_INSTAN,Fashion,65000,0,99,0,99
2023-01-15,Surabaya,SKU_KOPI_GAYO,Food & Beverage,220000,0,51,0,51
2023-01-15,Surabaya,SKU_BATIK_TULIS,Fashion Premium,1200000,0,14,0,14
2023-01-15,Medan,SKU_HIJAB_INSTAN,Fashion,65000,0,66,1,0
2023-01-15,Medan,SKU_KOPI_GAYO,Food & Beverage,220000,0,40,0,40
2023-01-15,Medan,SKU_BATIK_TULIS,Fashion Premium,1200000,0,7,0,7
2023-01-15,Makassar,SKU_HIJAB_INSTAN,Fashion,65000,0,26,0,26
2023-01-15,Makassar,SKU_KOPI_GAYO,Food & Beverage,220000,0,30,0,30
2023-01-15,Makassar,SKU_BATIK_TULIS,Fashion Premium,1200000,0,6,0,6
2023-01-16,Jakarta,SKU_HIJAB_INSTAN,Fashion,65000,0,153,0,153
2023-01-16,Jakarta,SKU_KOPI_GAYO,Food & Beverage,220000,0,83,0,83
2023-01-16,Jakarta,SKU_BATIK_TULIS,Fashion Premium,1200000,0,13,0,13
2023-01-16,Surabaya,SKU_HIJAB_INSTAN,Fashion,65000,0,74,0,74
2023-01-16,Surabaya,SKU_KOPI_GAYO,Food & Beverage,220000,0,53,0,53
2023-01-16,Surabaya,SKU_BATIK_TULIS,Fashion Premium,1200000,0,7,0,7
2023-01-16,Medan,SKU_HIJAB_INSTAN,Fashion,65000,0,60,0,60
2023-01-16,Medan,SKU_KOPI_GAYO,Food & Beverage,220000,0,27,0,27
2023-01-16,Medan,SKU_BATIK_TULIS,Fashion Premium,1200000,0,5,0,5
2023-01-16,Makassar,SKU_HIJAB_INSTAN,Fashion,65000,0,22,0,22
2023-01-16,Makassar,SKU_KOPI_GAYO,Food & Beverage,220000,0,12,0,12
2023-01-16,Makassar,SKU_BATIK_TULIS,Fashion Premium,1200000,0,2,0,2
2023-01-17,Jakarta,SKU_HIJAB_INSTAN,Fashion,65000,0,159,0,159
2023-01-17,Jakarta,SKU_KOPI_GAYO,Food & Beverage,220000,0,76,0,76
2023-01-17,Jakarta,SKU_BATIK_TULIS,Fashion Premium,1200000,0,13,0,13
2023-01-17,Surabaya,SKU_HIJAB_INSTAN,Fashion,65000,0,103,0,103
2023-01-17,Surabaya,SKU_KOPI_GAYO,Food & Beverage,220000,0,34,0,34
2023-01-17,Surabaya,SKU_BATIK_TULIS,Fashion Premium,1200000,0,10,0,10
2023-01-17,Medan,SKU_HIJAB_INSTAN,Fashion,65000,0,54,0,54
2023-01-17,Medan,SKU_KOPI_GAYO,Food & Beverage,220000,0,31,0,31
2023-01-17,Medan,SKU_BATIK_TULIS,Fashion Premium,1200000,0,7,0,7
2023-01-17,Makassar,SKU_HIJAB_INSTAN,Fashion,65000,0,38,0,38
2023-01-17,Makassar,SKU_KOPI_GAYO,Food & Beverage,220000,0,6,0,6
2023-01-17,Makassar,SKU_BATIK_TULIS,Fashion Premium,1200000,0,2,0,2
2023-01-18,Jakarta,SKU_HIJAB_INSTAN,Fashion,65000,0,153,0,153
2023-01-18,Jakarta,SKU_KOPI_GAYO,Food & Beverage,220000,0,80,0,80
2023-01-18,Jakarta,SKU_BATIK_TULIS,Fashion Premium,1200000,0,15,0,15
2023-01-18,Surabaya,SKU_HIJAB_INSTAN,Fashion,65000,0,96,0,96
2023-01-18,Surabaya,SKU_KOPI_GAYO,Food & Beverage,220000,0,62,0,62
2023-01-18,Surabaya,SKU_BATIK_TULIS,Fashion Premium,1200000,0,8,0,8
2023-01-18,Medan,SKU_HIJAB_INSTAN,Fashion,65000,0,86,0,86
2023-01-18,Medan,SKU_KOPI_GAYO,Food & Beverage,220000,0,26,0,26
2023-01-18,Medan,SKU_BATIK_TULIS,Fashion Premium,1200000,0,3,0,3
2023-01-18,Makassar,SKU_HIJAB_INSTAN,Fashion,65000,0,23,0,23
2023-01-18,Makassar,SKU_KOPI_GAYO,Food & Beverage,220000,0,18,0,18
2023-01-18,Makassar,SKU_BATIK_TULIS,Fashion Premium,1200000,0,5,0,5
2023-01-19,Jakarta,SKU_HIJAB_INSTAN,Fashion,65000,0,165,0,165
2023-01-19,Jakarta,SKU_KOPI_GAYO,Food & Beverage,220000,0,92,0,92
2023-01-19,Jakarta,SKU_BATIK_TULIS,Fashion Premium,1200000,0,16,0,16
2023-01-19,Surabaya,SKU_HIJAB_INSTAN,Fashion,65000,0,90,0,90
2023-01-19,Surabaya,SKU_KOPI_GAYO,Food & Beverage,220000,0,51,0,51
2023-01-19,Surabaya,SKU_BATIK_TULIS,Fashion Premium,1200000,0,8,0,8
2023-01-19,Medan,SKU_HIJAB_INSTAN,Fashion,65000,0,65,0,65
2023-01-19,Medan,SKU_KOPI_GAYO,Food & Beverage,220000,0,34,0,34
2023-01-19,Medan,SKU_BATIK_TULIS,Fashion Premium,1200000,0,6,0,6
2023-01-19,Makassar,SKU_HIJAB_INSTAN,Fashion,65000,0,30,0,30
2023-01-19,Makassar,SKU_KOPI_GAYO,Food & Beverage,220000,0,26,0,26
2023-01-19,Makassar,SKU_BATIK_TULIS,Fashion Premium,1200000,0,3,0,3
2023-01-20,Jakarta,SKU_HIJAB_INSTAN,Fashion,65000,0,151,0,151
2023-01-20,Jakarta,SKU_KOPI_GAYO,Food & Beverage,220000,0,84,0,84
2023-01-20,Jakarta,SKU_BATIK_TULIS,Fashion Premium,1200000,0,21,0,21
2023-01-20,Surabaya,SKU_HIJAB_INSTAN,Fashion,65000,0,84,0,84
2023-01-20,Surabaya,SKU_KOPI_GAYO,Food & Beverage,220000,0,53,0,53
2023-01-20,Surabaya,SKU_BATIK_TULIS,Fashion Premium,1200000,0,10,0,10
2023-01-20,Medan,SKU_HIJAB_INSTAN,Fashion,65000,0,82,0,82
2023-01-20,Medan,SKU_KOPI_GAYO,Food & Beverage,220000,0,34,0,34
2023-01-20,Medan,SKU_BATIK_TULIS,Fashion Premium,1200000,0,7,0,7
2023-01-20,Makassar,SKU_HIJAB_INSTAN,Fashion,65000,0,46,0,46
2023-01-20,Makassar,SKU_KOPI_GAYO,Food & Beverage,220000,0,21,0,21
2023-01-20,Makassar,SKU_BATIK_TULIS,Fashion Premium,1200000,0,6,0,6
2023-01-21,Jakarta,SKU_HIJAB_INSTAN,Fashion,65000,0,160,0,160
2023-01-21,Jakarta,SKU_KOPI_GAYO,Food & Beverage,220000,0,98,0,98
2023-01-21,Jakarta,SKU_BATIK_TULIS,Fashion Premium,1200000,0,23,0,23
2023-01-21,Surabaya,SKU_HIJAB_INSTAN,Fashion,65000,0,79,0,79
2023-01-21,Surabaya,SKU_KOPI_GAYO,Food & Beverage,220000,0,59,0,59
2023-01-21,Surabaya,SKU_BATIK_TULIS,Fashion Premium,1200000,0,14,0,14
2023-01-21,Medan,SKU_HIJAB_INSTAN,Fashion,65000,0,74,0,74
2023-01-21,Medan,SKU_KOPI_GAYO,Food & Beverage,220000,0,40,0,40
2023-01-21,Medan,SKU_BATIK_TULIS,Fashion Premium,1200000,0,9,0,9
2023-01-21,Makassar,SKU_HIJAB_INSTAN,Fashion,65000,0,43,0,43
2023-01-21,Makassar,SKU_KOPI_GAYO,Food & Beverage,220000,0,16,0,16
2023-01-21,Makassar,SKU_BATIK_TULIS,Fashion Premium,1200000,0,4,0,4
2023-01-22,Jakarta,SKU_HIJAB_INSTAN,Fashion,65000,0,181,0,181
2023-01-22,Jakarta,SKU_KOPI_GAYO,Food & Beverage,220000,0,79,0,79
2023-01-22,Jakarta,SKU_BATIK_TULIS,Fashion Premium,1200000,0,20,0,20
2023-01-22,Surabaya,SKU_HIJAB_INSTAN,Fashion,65000,0,119,0,119
2023-01-22,Surabaya,SKU_KOPI_GAYO,Food & Beverage,220000,0,48,0,48
2023-01-22,Surabaya,SKU_BATIK_TULIS,Fashion Premium,1200000,0,11,0,11
2023-01-22,Medan,SKU_HIJAB_INSTAN,Fashion,65000,0,68,0,68
2023-01-22,Medan,SKU_KOPI_GAYO,Food & Beverage,220000,0,27,0,27
2023-01-22,Medan,SKU_BATIK_TULIS,Fashion Premium,1200000,0,11,0,11
2023-01-22,Makassar,SKU_HIJAB_INSTAN,Fashion,65000,0,35,0,35
2023-01-22,Makassar,SKU_KOPI_GAYO,Food & Beverage,220000,0,12,0,12
2023-01-22,Makassar,SKU_BATIK_TULIS,Fashion Premium,1200000,0,4,0,4
2023-01-23,Jakarta,SKU_HIJAB_INSTAN,Fashion,65000,0,150,0,150
2023-01-23,Jakarta,SKU_KOPI_GAYO,Food & Beverage,220000,0,74,1,0
2023-01-23,Jakarta,SKU_BATIK_TULIS,Fashion Premium,1200000,0,12,0,12
2023-01-23,Surabaya,SKU_HIJAB_INSTAN,Fashion,65000,0,58,0,58
2023-01-23,Surabaya,SKU_KOPI_GAYO,Food & Beverage,220000,0,52,0,52
2023-01-23,Surabaya,SKU_BATIK_TULIS,Fashion Premium,1200000,0,6,0,6
2023-01-23,Medan,SKU_HIJAB_INSTAN,Fashion,65000,0,45,0,45
2023-01-23,Medan,SKU_KOPI_GAYO,Food & Beverage,220000,0,31,0,31
